id,x[m],y[m],z[m],t[s]
1,-1.25,1.25,1,0
1,-0.75,1.25,1,1.5
1,-0.75,0.75,1,3
1,-0.75,0.25,1,4.5
1,-0.75,-0.25,1,6
1,-0.25,-0.25,1,7.5
1,-0.25,-0.25,1,9
1,-0.25,-0.25,1,10.5
1,0.25,-0.25,1,12
1,0.25,0.25,1,13.5
1,0.25,0.75,1,15
1,0.25,1.25,1,16.5
1,0.25,1.25,1,18
1,0.25,1.25,1,19.5
1,0.25,1.25,1,21
2,-1.25,-0.75,1,0
2,-0.75,-0.75,1,1.5
2,-0.75,-0.25,1,3
2,-0.25,-0.25,1,4.5
2,0.25,-0.25,1,6
2,0.25,0.25,1,7.5
2,0.25,0.75,1,9
2,0.25,0.75,1,10.5
2,0.25,0.75,1,12
2,-0.25,0.75,1,13.5
2,-0.75,0.75,1,15
2,-0.75,0.25,1,16.5
2,-0.75,-0.25,1,18
2,-0.25,-0.25,1,19.5
2,-0.25,-0.75,1,21
2,-0.25,-1.25,1,22.5
2,-0.25,-1.25,1,24
2,-0.25,-1.25,1,25.5
2,-0.25,-1.25,1,27
3,1.25,0.75,1,0
3,0.75,0.75,1,1.5
3,0.25,0.75,1,3
3,-0.25,0.75,1,4.5
3,-0.75,0.75,1,6
3,-1.25,0.75,1,7.5
3,-1.25,0.75,1,9
3,-1.25,0.75,1,10.5
3,-1.25,0.25,1,12
3,-1.25,-0.25,1,13.5
3,-0.75,-0.25,1,15
3,-0.25,-0.25,1,16.5
3,0.25,-0.25,1,18
3,0.25,-0.75,1,19.5
3,0.75,-0.75,1,21
3,0.75,-0.75,1,22.5
3,0.75,-0.75,1,24
3,0.75,-0.75,1,25.5
3,0.75,-0.75,1,27
