id,x[m],y[m],z[m],t[s]
1,-1.07,1.07,0.4,0
1,-0.65,0.65,0.4,2
1,-0.65,0.21,0.4,4
1,-0.65,-0.22,0.4,6
1,-0.65,-0.22,0.4,8
1,-0.22,-0.22,0.4,10
1,-0.22,-0.22,0.4,12
1,-0.22,-0.22,0.4,14
1,0.21,0.21,0.4,16
1,0.21,0.65,0.4,18
1,0.21,1.07,0.4,20
1,0.21,1.07,0.4,22
2,-1.07,-0.65,0.4,0
2,-0.65,-0.22,0.4,2
2,-0.22,-0.22,0.4,4
2,-0.22,-0.22,0.4,6
2,-0.22,-0.22,0.4,8
2,-0.22,-0.65,0.4,10
2,-0.22,-1.07,0.4,12
2,-0.22,-1.07,0.4,14
2,-0.22,-1.07,0.3,16
3,1.07,0.65,0.4,0
3,0.65,0.21,0.7,2
3,0.21,0.21,1,4
3,0.21,0.21,1,6
3,-0.22,0.65,1,8
3,-0.65,0.65,1,10
3,-0.65,0.65,1,12
3,-0.65,0.65,1,14
3,-0.65,0.65,0.3,16
4,1.07,-0.65,0.4,0
4,0.65,-1.07,0.7,2
4,0.21,-1.07,1,4
4,0.21,-1.07,1,6
4,0.21,-1.07,1,8
4,0.65,-0.65,0.7,10
4,1.07,-0.65,0.4,12
4,1.07,-0.65,0.4,14
4,1.07,-0.65,0.3,16
5,0.65,1.07,0.4,0
5,0.21,0.65,0.7,2
5,-0.22,0.65,1,4
5,-0.65,0.21,1,6
5,-1.07,-0.22,1,8
5,-1.07,-0.22,1,10
5,-0.65,0.21,0.7,12
5,-0.22,0.65,0.4,14
5,0.21,1.07,0.4,16
5,0.65,1.07,0.4,18
5,0.65,1.07,0.4,20
