id,x[m],y[m],z[m],t[s]
1,-1.07,1.07,0.4,0
1,-0.65,0.65,0.4,2
1,-1.07,0.21,0.4,4
1,-0.65,-0.22,0.4,6
1,-0.22,-0.65,0.4,8
1,-0.65,-1.07,0.4,10
1,-0.65,-1.07,0.4,12
1,-1.07,-0.65,0.7,14
1,-1.07,-0.22,1,16
1,-1.07,-0.22,1,18
1,-1.07,0.21,0.7,20
1,-1.07,0.65,0.4,22
1,-1.07,1.07,0.4,24
1,-1.07,1.07,0.4,26
2,-1.07,0.21,0.4,0
2,-0.65,-0.22,0.4,2
2,-0.22,-0.22,0.4,4
2,-0.22,-0.22,0.4,6
2,-0.22,-0.22,0.4,8
2,-0.65,0.21,0.7,10
2,-0.22,0.65,0.7,12
2,-0.22,0.65,0.7,14
2,-0.65,0.21,0.4,16
2,-1.07,0.21,0.4,18
2,-0.65,0.21,0.4,20
2,-1.07,0.21,0.4,22
2,-1.07,0.21,0.4,24
2,-1.07,0.21,0.4,26
3,-1.07,-0.65,0.4,0
3,-0.65,-0.65,0.4,2
3,-0.22,-0.65,0.4,4
3,-0.22,-0.65,0.4,6
3,0.21,-0.22,0.4,8
3,-0.22,-0.22,0.4,10
3,-0.22,-0.22,0.4,12
3,-0.22,-0.22,0.4,14
3,0.21,0.21,0.7,16
3,-0.22,0.65,0.7,18
3,-0.22,0.65,0.7,20
3,-0.65,0.21,0.4,22
3,-0.65,-0.22,0.4,24
3,-1.07,-0.65,0.4,26
4,1.07,0.65,0.4,0
4,0.65,0.21,0.4,2
4,0.65,-0.22,0.4,4
4,0.65,-0.22,0.4,6
4,0.21,0.21,0.4,8
4,0.21,0.65,0.4,10
4,0.21,1.07,0.4,12
4,0.21,1.07,0.4,14
4,0.65,0.65,0.4,16
4,1.07,0.65,0.4,18
4,1.07,0.65,0.4,20
4,1.07,0.65,0.4,22
4,1.07,0.65,0.4,24
4,1.07,0.65,0.4,26
5,1.07,-0.22,0.4,0
5,0.65,-0.22,0.4,2
5,0.65,-0.65,0.4,4
5,0.65,-0.65,0.4,6
5,0.65,-0.22,0.4,8
5,0.65,-0.22,0.4,10
5,0.21,0.21,0.4,12
5,0.21,0.65,0.4,14
5,0.21,1.07,0.4,16
5,0.21,1.07,0.4,18
5,0.65,0.65,0.4,20
5,0.65,0.21,0.4,22
5,1.07,-0.22,0.4,24
5,1.07,-0.22,0.4,26
